Metadata Type,Metadata API,Source Tracking (force:source:push/pull),Unlocked Packaging
LiveMessageSettings,TRUE,FALSE,FALSE
MacroSettings,TRUE,TRUE,FALSE
ManagedTopics,TRUE,FALSE,FALSE
MarketingActionSettings,TRUE,TRUE,FALSE
MarketingResourceType,TRUE,TRUE,TRUE
MatchingRules,TRUE,TRUE,TRUE
MilestoneType,TRUE,TRUE,Requires Package without a Namespace
MlDomain,TRUE,FALSE,TRUE
MobileSettings,TRUE,TRUE,FALSE
ModerationRule,TRUE,TRUE,Requires Package without a Namespace
NamedCredential,TRUE,TRUE,TRUE
NameSettings,TRUE,TRUE,FALSE
Network,TRUE,TRUE,FALSE
NetworkBranding,TRUE,TRUE,FALSE
OpportunitySettings,TRUE,TRUE,FALSE
Orchestration,TRUE,TRUE,TRUE
OrchestrationContext,TRUE,TRUE,TRUE
OrderSettings,TRUE,TRUE,FALSE
OrgPreferenceSettings,TRUE,TRUE,FALSE
Package,TRUE,FALSE,FALSE
PathAssistant,TRUE,TRUE,TRUE
PathAssistantSettings,TRUE,FALSE,FALSE
PermissionSet,TRUE,TRUE,TRUE
PermissionSetGroup,TRUE,Expanded Source Tracking (Beta),Requires Package without a Namespace
PermissionSetLicense,TRUE,Expanded Source Tracking (Beta),TRUE
PersonalJourneySettings,TRUE,FALSE,FALSE
PersonListSettings,TRUE,FALSE,FALSE
PicklistValue,TRUE,Expanded Source Tracking (Beta),TRUE
PlatformActionList,TRUE,Expanded Source Tracking (Beta),TRUE
PlatformCachePartition,TRUE,TRUE,TRUE
Portal,TRUE,Expanded Source Tracking (Beta),TRUE
PostTemplate,TRUE,TRUE,FALSE
ProductSettings,TRUE,TRUE,FALSE
Profile,TRUE,TRUE,TRUE
ProfilePasswordPolicy,TRUE,FALSE,TRUE
ProfileSessionSetting,TRUE,FALSE,TRUE
Queue,TRUE,TRUE,Requires Package without a Namespace
QuickAction,TRUE,TRUE,TRUE
QuoteSettings,TRUE,TRUE,FALSE
RecommendationStrategy,TRUE,FALSE,TRUE
RecordType,TRUE,TRUE,TRUE
RemoteSiteSetting,TRUE,TRUE,TRUE
Report,TRUE,TRUE,TRUE
ReportFolder,TRUE,TRUE,TRUE
ReportType,TRUE,TRUE,TRUE
Role,TRUE,TRUE,Requires Package without a Namespace
SamlSsoConfig,TRUE,TRUE,TRUE
Scontrol,TRUE,TRUE,TRUE
SearchSettings,TRUE,FALSE,FALSE
SecuritySettings,TRUE,TRUE,FALSE
SessionLevelPolicy,TRUE,TRUE,TRUE
SharingCriteriaRule,TRUE,TRUE,FALSE
SharingOwnerRule,TRUE,TRUE,FALSE
SharingReason,TRUE,TRUE,TRUE
SharingRules,TRUE,TRUE,FALSE
SharingSet,TRUE,TRUE,Requires Package without a Namespace
SharingTerritoryRule,TRUE,TRUE,Requires Package without a Namespace
SiteDotCom,TRUE,TRUE,FALSE
Skill,TRUE,TRUE,FALSE
SocialCustomerServiceSettings,TRUE,FALSE,FALSE
StandardValue,TRUE,Expanded Source Tracking (Beta),TRUE
StandardValueSet,TRUE,Expanded Source Tracking (Beta),TRUE
StandardValueSetTranslation,TRUE,FALSE,FALSE
