Metadata Type,Metadata API,Source Tracking (force:source:push/pull),Unlocked Packaging
Metadata Type,Metadata API,Source Tracking (force:source:push/pull),Unlocked Packaging
SummaryLayout,FALSE,FALSE,FALSE
SharingSettings,FALSE,FALSE,FALSE
OrgWideEmailAddress,FALSE,FALSE,FALSE
OmniChannel,FALSE,FALSE,FALSE
MassMail,FALSE,FALSE,FALSE
LoginFlow,FALSE,FALSE,FALSE
FeedFieldHistory,FALSE,FALSE,FALSE
